'Elapsed time','ECG'
'hh:mm:ss.mmm','mV'
'0:00.000',1.080
'0:00.005',1.080
'0:00.010',1.120
'0:00.015',1.120
'0:00.020',1.080
'0:00.025',1.120
'0:00.030',1.080
'0:00.035',1.120
'0:00.040',1.080
'0:00.045',1.120
'0:00.050',1.080
'0:00.055',1.080
'0:00.060',1.120
'0:00.065',1.080
'0:00.070',1.080
'0:00.075',1.120
'0:00.080',1.120
'0:00.085',1.080
'0:00.090',1.080
'0:00.095',1.080
'0:00.100',1.120
'0:00.105',1.120
'0:00.110',1.080
'0:00.115',1.120
'0:00.120',1.080
'0:00.125',1.120
'0:00.130',1.080
'0:00.135',1.120
'0:00.140',1.120
'0:00.145',1.080
'0:00.150',1.120
'0:00.155',1.080
'0:00.160',1.080
'0:00.165',1.080
'0:00.170',1.080
'0:00.175',1.080
'0:00.180',1.120
'0:00.185',1.120
'0:00.190',1.120
'0:00.195',1.120
'0:00.200',1.120
'0:00.205',1.080
'0:00.210',1.080
'0:00.215',1.080
'0:00.220',1.120
'0:00.225',1.120
'0:00.230',1.080
'0:00.235',1.080
'0:00.240',1.040
'0:00.245',1.080
'0:00.250',1.040
'0:00.255',1.080
'0:00.260',1.040
'0:00.265',1.120
'0:00.270',1.120
'0:00.275',1.160
'0:00.280',1.160
'0:00.285',1.160
'0:00.290',1.160
'0:00.295',1.160
'0:00.300',1.160
'0:00.305',1.160
'0:00.310',1.160
'0:00.315',1.120
'0:00.320',1.120
'0:00.325',1.120
'0:00.330',1.080
'0:00.335',1.080
'0:00.340',1.040
'0:00.345',1.040
'0:00.350',1.080
'0:00.355',1.080
'0:00.360',1.040
'0:00.365',1.080
'0:00.370',1.080
'0:00.375',1.080
'0:00.380',1.040
'0:00.385',1.040
'0:00.390',1.120
'0:00.395',1.080
'0:00.400',1.080
'0:00.405',1.040
'0:00.410',1.080
'0:00.415',1.040
'0:00.420',1.120
'0:00.425',1.120
'0:00.430',1.280
'0:00.435',1.520
'0:00.440',1.720
'0:00.445',1.840
'0:00.450',2.040
'0:00.455',2.040
'0:00.460',1.880
'0:00.465',1.600
'0:00.470',1.320
'0:00.475',1.160
'0:00.480',1.040
'0:00.485',1.000
'0:00.490',0.920
'0:00.495',0.920
'0:00.500',0.920
'0:00.505',0.960
'0:00.510',0.960
'0:00.515',0.960
'0:00.520',0.960
'0:00.525',0.960
'0:00.530',0.960
'0:00.535',0.960
'0:00.540',1.000
'0:00.545',0.960
'0:00.550',1.000
'0:00.555',0.960
'0:00.560',0.960
'0:00.565',0.960
'0:00.570',0.960
'0:00.575',0.960
'0:00.580',1.000
'0:00.585',0.960
'0:00.590',1.000
'0:00.595',0.960
'0:00.600',1.000
'0:00.605',1.000
'0:00.610',1.000
'0:00.615',1.000
'0:00.620',1.000
'0:00.625',1.000
'0:00.630',0.960
'0:00.635',1.000
'0:00.640',1.000
'0:00.645',1.000
'0:00.650',0.960
'0:00.655',1.000
'0:00.660',1.000
'0:00.665',1.000
'0:00.670',1.000
'0:00.675',1.000
'0:00.680',1.000
'0:00.685',0.960
'0:00.690',1.000
'0:00.695',0.960
'0:00.700',1.000
'0:00.705',1.000
'0:00.710',1.000
'0:00.715',1.000
'0:00.720',0.960
'0:00.725',1.000
'0:00.730',1.000
'0:00.735',1.000
'0:00.740',1.000
'0:00.745',1.000
'0:00.750',1.000
'0:00.755',1.040
'0:00.760',1.000
'0:00.765',1.040
'0:00.770',1.000
'0:00.775',1.040
'0:00.780',1.080
'0:00.785',1.080
'0:00.790',1.080
'0:00.795',1.080
'0:00.800',1.160
'0:00.805',1.120
'0:00.810',1.160
'0:00.815',1.160
'0:00.820',1.160
'0:00.825',1.120
'0:00.830',1.160
'0:00.835',1.160
'0:00.840',1.160
'0:00.845',1.120
'0:00.850',1.120
'0:00.855',1.120
'0:00.860',1.120
'0:00.865',1.120
'0:00.870',1.080
'0:00.875',1.080
'0:00.880',1.120
'0:00.885',1.120
'0:00.890',1.120
'0:00.895',1.120
'0:00.900',1.120
'0:00.905',1.080
'0:00.910',1.120
'0:00.915',1.120
'0:00.920',1.120
'0:00.925',1.120
'0:00.930',1.160
'0:00.935',1.120
'0:00.940',1.120
'0:00.945',1.120
'0:00.950',1.120
'0:00.955',1.160
'0:00.960',1.120
'0:00.965',1.120
'0:00.970',1.120
'0:00.975',1.080
'0:00.980',1.160
'0:00.985',1.120
'0:00.990',1.120
'0:00.995',1.120
'0:01.000',1.160
'0:01.005',1.120
'0:01.010',1.120
'0:01.015',1.160
'0:01.020',1.120
'0:01.025',1.080
'0:01.030',1.120
'0:01.035',1.160
'0:01.040',1.120
'0:01.045',1.120
'0:01.050',1.160
'0:01.055',1.120
'0:01.060',1.120
'0:01.065',1.120
'0:01.070',1.120
'0:01.075',1.120
'0:01.080',1.120
'0:01.085',1.120
'0:01.090',1.120
'0:01.095',1.120
'0:01.100',1.080
'0:01.105',1.120
'0:01.110',1.080
'0:01.115',1.120
'0:01.120',1.080
'0:01.125',1.120
'0:01.130',1.080
'0:01.135',1.120
'0:01.140',1.080
'0:01.145',1.080
'0:01.150',1.080
'0:01.155',1.080
'0:01.160',1.120
'0:01.165',1.080
'0:01.170',1.120
'0:01.175',1.120
'0:01.180',1.120
'0:01.185',1.120
'0:01.190',1.120
'0:01.195',1.120
'0:01.200',1.120
'0:01.205',1.120
'0:01.210',1.120
'0:01.215',1.160
'0:01.220',1.120
'0:01.225',1.160
'0:01.230',1.120
'0:01.235',1.080
'0:01.240',1.040
'0:01.245',1.080
'0:01.250',1.080
'0:01.255',1.080
'0:01.260',1.160
'0:01.265',1.160
'0:01.270',1.160
'0:01.275',1.200
'0:01.280',1.160
'0:01.285',1.160
'0:01.290',1.160
'0:01.295',1.200
'0:01.300',1.160
'0:01.305',1.160
'0:01.310',1.120
'0:01.315',1.160
'0:01.320',1.160
'0:01.325',1.120
'0:01.330',1.120
'0:01.335',1.080
'0:01.340',1.080
'0:01.345',1.120
'0:01.350',1.120
'0:01.355',1.120
'0:01.360',1.120
'0:01.365',1.120
'0:01.370',1.120
'0:01.375',1.080
'0:01.380',1.120
'0:01.385',1.080
'0:01.390',1.120
'0:01.395',1.120
'0:01.400',1.120
'0:01.405',1.120
'0:01.410',1.120
'0:01.415',1.120
'0:01.420',1.200
'0:01.425',1.480
'0:01.430',1.720
'0:01.435',1.800
'0:01.440',1.960
'0:01.445',2.040
'0:01.450',2.000
'0:01.455',1.760
'0:01.460',1.440
'0:01.465',1.240
'0:01.470',1.200
'0:01.475',1.040
'0:01.480',1.040
'0:01.485',0.960
'0:01.490',1.000
'0:01.495',0.960
'0:01.500',0.960
'0:01.505',1.000
'0:01.510',1.000
'0:01.515',1.000
'0:01.520',1.000
'0:01.525',1.000
'0:01.530',1.000
'0:01.535',1.000
'0:01.540',1.000
'0:01.545',1.000
'0:01.550',0.960
'0:01.555',1.040
'0:01.560',1.000
'0:01.565',1.040
'0:01.570',1.000
'0:01.575',1.000
'0:01.580',1.000
'0:01.585',1.000
'0:01.590',1.040
'0:01.595',1.040
'0:01.600',1.040
'0:01.605',1.000
'0:01.610',1.000
'0:01.615',1.080
'0:01.620',1.040
'0:01.625',1.040
'0:01.630',1.080
'0:01.635',1.040
'0:01.640',1.080
'0:01.645',1.080
'0:01.650',1.040
'0:01.655',1.040
'0:01.660',1.080
'0:01.665',1.000
'0:01.670',1.000
'0:01.675',1.080
'0:01.680',1.040
'0:01.685',1.040
'0:01.690',1.040
'0:01.695',1.040
'0:01.700',1.040
'0:01.705',1.040
'0:01.710',1.080
'0:01.715',1.040
'0:01.720',1.080
'0:01.725',1.040
'0:01.730',1.080
'0:01.735',1.080
'0:01.740',1.000
'0:01.745',1.040
'0:01.750',1.040
'0:01.755',1.040
'0:01.760',1.040
'0:01.765',1.040
'0:01.770',1.120
'0:01.775',1.120
'0:01.780',1.120
'0:01.785',1.160
'0:01.790',1.160
'0:01.795',1.160
'0:01.800',1.120
'0:01.805',1.120
'0:01.810',1.160
'0:01.815',1.160
'0:01.820',1.120
'0:01.825',1.120
'0:01.830',1.160
'0:01.835',1.080
'0:01.840',1.080
'0:01.845',1.080
'0:01.850',1.120
'0:01.855',1.120
'0:01.860',1.120
'0:01.865',1.160
'0:01.870',1.120
'0:01.875',1.080
'0:01.880',1.160
'0:01.885',1.120
'0:01.890',1.120
'0:01.895',1.120
'0:01.900',1.080
'0:01.905',1.120
'0:01.910',1.120
'0:01.915',1.120
'0:01.920',1.120
'0:01.925',1.120
'0:01.930',1.080
'0:01.935',1.120
'0:01.940',1.080
'0:01.945',1.120
'0:01.950',1.160
'0:01.955',1.160
'0:01.960',1.160
'0:01.965',1.160
'0:01.970',1.120
'0:01.975',1.160
'0:01.980',1.160
'0:01.985',1.120
'0:01.990',1.120
'0:01.995',1.160
'0:02.000',1.120
'0:02.005',1.120
'0:02.010',1.160
'0:02.015',1.160
'0:02.020',1.120
'0:02.025',1.160
'0:02.030',1.120
'0:02.035',1.160
'0:02.040',1.120
'0:02.045',1.120
'0:02.050',1.120
'0:02.055',1.160
'0:02.060',1.160
'0:02.065',1.160
'0:02.070',1.120
'0:02.075',1.160
'0:02.080',1.160
'0:02.085',1.160
'0:02.090',1.120
'0:02.095',1.120
'0:02.100',1.160
'0:02.105',1.160
'0:02.110',1.120
'0:02.115',1.160
'0:02.120',1.120
'0:02.125',1.120
'0:02.130',1.160
'0:02.135',1.120
'0:02.140',1.120
'0:02.145',1.120
'0:02.150',1.160
'0:02.155',1.160
'0:02.160',1.160
'0:02.165',1.120
'0:02.170',1.120
'0:02.175',1.120
'0:02.180',1.160
'0:02.185',1.120
'0:02.190',1.120
'0:02.195',1.080
'0:02.200',1.120
'0:02.205',1.120
'0:02.210',1.080
'0:02.215',1.120
'0:02.220',1.160
'0:02.225',1.200
'0:02.230',1.160
'0:02.235',1.200
'0:02.240',1.200
'0:02.245',1.200
'0:02.250',1.160
'0:02.255',1.160
'0:02.260',1.200
'0:02.265',1.200
'0:02.270',1.120
'0:02.275',1.120
'0:02.280',1.120
'0:02.285',1.120
'0:02.290',1.120
'0:02.295',1.120
'0:02.300',1.080
'0:02.305',1.120
'0:02.310',1.120
'0:02.315',1.120
'0:02.320',1.120
'0:02.325',1.080
'0:02.330',1.080
'0:02.335',1.080
'0:02.340',1.120
'0:02.345',1.080
'0:02.350',1.120
'0:02.355',1.120
'0:02.360',1.080
'0:02.365',1.080
'0:02.370',1.080
'0:02.375',1.120
'0:02.380',1.320
'0:02.385',1.520
'0:02.390',1.760
'0:02.395',1.920
'0:02.400',2.120
'0:02.405',2.240
'0:02.410',2.080
'0:02.415',1.880
'0:02.420',1.440
'0:02.425',1.280
'0:02.430',1.080
'0:02.435',1.000
'0:02.440',0.960
'0:02.445',0.920
'0:02.450',0.920
'0:02.455',0.920
'0:02.460',0.880
'0:02.465',0.920
'0:02.470',0.880
'0:02.475',0.920
'0:02.480',0.920
'0:02.485',0.920
'0:02.490',0.920
'0:02.495',0.960
'0:02.500',1.000
'0:02.505',0.960
'0:02.510',0.960
'0:02.515',0.920
'0:02.520',0.960
'0:02.525',0.920
'0:02.530',0.960
'0:02.535',0.960
'0:02.540',0.960
'0:02.545',0.920
'0:02.550',0.960
'0:02.555',1.000
'0:02.560',0.960
'0:02.565',0.960
'0:02.570',0.960
'0:02.575',1.000
'0:02.580',1.000
'0:02.585',0.960
'0:02.590',1.000
'0:02.595',0.960
'0:02.600',1.000
'0:02.605',0.960
'0:02.610',0.960
'0:02.615',0.960
'0:02.620',0.960
'0:02.625',0.960
'0:02.630',0.960
'0:02.635',0.920
